Game Turn, Player, SpyId, Action, Status, Location
214, 1, 18350082, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
214, 1, 18350082, GAIN SOURCES, BEGIN, 44:20
214, 1, 18415668, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
214, 4, 20447294, MOVE TO CITY(40 7), BEGIN, 39:39
214, 4, 20316201, MOVE TO CITY(40 7), BEGIN, 41:17
214, 4, 20250624, MOVE TO CITY(40 7), BEGIN, 39:20
214, 5, 28770389, MOVE TO CITY(61 11), BEGIN, 53:27
214, 5, 28835924, MOVE TO CITY(61 11), BEGIN, 53:27
214, 5, 28967002, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
214, 5, 28967002, MOVE TO CITY(53 27), BEGIN, 61:11
214, 5, 29032504, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
214, 5, 29032504, MOVE TO CITY(53 27), BEGIN, 61:11
214, 5, 29163554, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
214, 5, 29098044, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
214, 5, 29098044, MOVE TO CITY(53 27), BEGIN, 61:11
214, 6, 23593030, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 18:13
214, 6, 23658561, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 18:13
214, 6, 23724092, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 18:13
214, 7, 21889108, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
214, 7, 21889108, MOVE TO CITY(61 11), BEGIN, 32:16
214, 7, 21626973, MOVE TO CITY(32 16), BEGIN, 61:11
215, 1, 18481199, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
215, 1, 18415668, MOVE TO CITY(44 20), BEGIN, 37:10
215, 2, 13762565, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
215, 2, 13762565, MOVE TO CITY(22 10), BEGIN, 61:11
215, 2, 13828139, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
215, 2, 13828139, MOVE TO CITY(22 10), BEGIN, 61:11
215, 2, 13893676, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
215, 2, 13893676, MOVE TO CITY(22 10), BEGIN, 61:11
215, 4, 20578372, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
215, 4, 20578372, GAIN SOURCES, BEGIN, 40:7
215, 5, 29163554, MOVE TO CITY(61 11), BEGIN, 53:27
215, 5, 29556826, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
215, 5, 29622358, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
215, 5, 29687893, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
215, 6, 23855133, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 18:13
215, 6, 23920648, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 18:13
215, 7, 22216802, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
216, 1, 18677812, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
216, 1, 18481199, MOVE TO CITY(32 16), BEGIN, 37:10
216, 2, 14090284, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
216, 2, 14155819, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
216, 2, 14221317, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
216, 4, 20643906, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
216, 4, 20643906, GAIN SOURCES, BEGIN, 40:7
216, 4, 20709438, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
216, 4, 20709438, GAIN SOURCES, BEGIN, 40:7
216, 4, 20774954, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
216, 4, 20774954, GAIN SOURCES, BEGIN, 40:7
216, 5, 29884510, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
216, 5, 29884510, MOVE TO CITY(53 27), BEGIN, 61:11
216, 5, 29687893, MOVE TO CITY(61 11), BEGIN, 53:27
216, 5, 29950017, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
216, 5, 29950017, MOVE TO CITY(53 27), BEGIN, 61:11
216, 5, 29556826, MOVE TO CITY(61 11), BEGIN, 53:27
216, 5, 29622358, MOVE TO CITY(61 11), BEGIN, 53:27
216, 7, 22216802, MOVE TO CITY(32 16), BEGIN, 61:11
216, 7, 22413399, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
216, 7, 22413399, MOVE TO CITY(61 11), BEGIN, 32:16
216, 7, 22478913, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
216, 7, 22478913, MOVE TO CITY(61 11), BEGIN, 32:16
217, 1, 18677812, MOVE TO CITY(32 16), BEGIN, 37:10
217, 1, 18808879, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
217, 1, 18808879, GAIN SOURCES, BEGIN, 44:20
217, 2, 14221317, MOVE TO CITY(61 11), BEGIN, 22:10
217, 2, 14090284, MOVE TO CITY(61 11), BEGIN, 22:10
217, 2, 14155819, MOVE TO CITY(61 11), BEGIN, 22:10
217, 5, 30146650, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
217, 5, 30081118, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
217, 5, 30081118, MOVE TO CITY(53 27), BEGIN, 61:11
217, 5, 30212182, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
217, 7, 22741093, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
217, 7, 22806626, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
218, 4, 20185152, MOVE TO CITY(39 20), BEGIN, 40:7
218, 5, 30212182, MOVE TO CITY(61 11), BEGIN, 53:27
218, 5, 30605370, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
218, 5, 30408798, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
218, 5, 30408798, MOVE TO CITY(53 27), BEGIN, 61:11
218, 5, 30146650, MOVE TO CITY(61 11), BEGIN, 53:27
218, 5, 30474242, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
218, 5, 30474242, MOVE TO CITY(53 27), BEGIN, 61:11
218, 5, 30539841, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
218, 5, 30539841, MOVE TO CITY(53 27), BEGIN, 61:11
218, 7, 22806626, MOVE TO CITY(32 16), BEGIN, 61:11
218, 7, 22741093, MOVE TO CITY(32 16), BEGIN, 61:11
218, 7, 23003174, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
218, 7, 23003174, GAIN SOURCES, BEGIN, 32:16
219, 1, 18350082, MOVE TO CITY(37 10), BEGIN, 44:20
219, 2, 14549034, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
219, 2, 14549034, MOVE TO CITY(22 10), BEGIN, 61:11
219, 2, 14614543, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
219, 2, 14614543, MOVE TO CITY(22 10), BEGIN, 61:11
219, 2, 14680069, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
219, 2, 14680069, MOVE TO CITY(22 10), BEGIN, 61:11
219, 4, 21233728, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
219, 5, 30605370, MOVE TO CITY(61 11), BEGIN, 53:27
219, 5, 31064158, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
219, 5, 31129692, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
219, 5, 31195226, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
219, 6, 23593030, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 18:13
219, 6, 23658561, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 17:13
219, 6, 23724092, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 17:13
220, 1, 19070978, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
220, 1, 19070978, MOVE TO CITY(37 10), BEGIN, 32:16
220, 2, 14811178, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
220, 2, 14876687, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
220, 2, 14942214, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
220, 4, 20578372, MOVE TO CITY(39 20), BEGIN, 40:7
220, 4, 21233728, MOVE TO CITY(40 7), BEGIN, 39:20
220, 5, 31326266, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
220, 5, 31326266, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
220, 5, 31391764, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
220, 5, 31391764, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
220, 5, 31195226, MOVE TO CITY(64 13), BEGIN, 53:27
220, 5, 31064158, MOVE TO CITY(64 13), BEGIN, 53:27
220, 5, 31129692, MOVE TO CITY(64 13), BEGIN, 53:27
220, 6, 23855133, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 18:13
220, 6, 23920648, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 18:13
220, 6, 23658561, MOVE TO CITY(61 11), BEGIN, 17:13
220, 6, 23724092, MOVE TO CITY(61 11), BEGIN, 17:13
220, 7, 23265365, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
220, 7, 23265365, GAIN SOURCES, BEGIN, 32:16
221, 1, 19202050, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
221, 1, 19202050, MOVE TO CITY(37 10), BEGIN, 32:16
221, 1, 19267639, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
221, 2, 14811178, MOVE TO CITY(61 11), BEGIN, 22:10
221, 2, 14876687, MOVE TO CITY(61 11), BEGIN, 22:10
221, 2, 14942214, MOVE TO CITY(61 11), BEGIN, 22:10
221, 4, 20643906, MOVE TO CITY(39 20), BEGIN, 40:7
221, 4, 20709438, MOVE TO CITY(39 20), BEGIN, 40:7
221, 4, 21692492, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
221, 4, 20774954, MOVE TO CITY(39 20), BEGIN, 40:7
221, 5, 31653982, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
221, 5, 31653982, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
221, 6, 25755713, MOVE TO CITY(61 11), BEGIN, 25:20
222, 1, 19529738, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
