Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
190, 6, 1, Deal Accepted, 0 Peace for 20 turns from 1 to 6; 0 Peace for 20 turns from 6 to 1; 1 RESOURCE_CITRUS for 30 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 1 Gold for 30 turns from 1 to 6; , 2267.0, 1
190, 1, 6, Peace, , 2267.0, 1
190, 1, 7, Deal Proposed, 1 RESOURCE_JEANS for 30 turns from 7 to 1; 1 RESOURCE_COAL for 30 turns from 1 to 7; 1 Gold for 30 turns from 1 to 7; , 2267.0, 3
190, 7, 1, Deal Accepted, 1 RESOURCE_JEANS for 30 turns from 7 to 1; 1 RESOURCE_COAL for 30 turns from 1 to 7; 1 Gold for 30 turns from 1 to 7; , 2267.0, 2
190, 2, 6, Deal Proposed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 57 Gold for 30 turns from 2 to 6; , 2267.0, 1
190, 2, 6, Deal Closed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 57 Gold for 30 turns from 2 to 6; , 2267.0, 1
190, 6, 2, Deal Rejected, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 57 Gold for 30 turns from 2 to 6; , 2267.0, 1
190, 2, 7, Deal Proposed, 1 RESOURCE_COTTON for 30 turns from 7 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 7; 4 Gold for 0 turns from 2 to 7; , 2267.0, 1
190, 2, 7, Deal Closed, 1 RESOURCE_COTTON for 30 turns from 7 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 7; 4 Gold for 0 turns from 2 to 7; , 2267.0, 1
190, 7, 2, Deal Rejected, 1 RESOURCE_COTTON for 30 turns from 7 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 7; 4 Gold for 0 turns from 2 to 7; , 2267.0, 0
190, 2, 5, Deal Proposed, 1 RESOURCE_GYPSUM for 30 turns from 5 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 5; 4 Gold for 0 turns from 2 to 5; , 2267.0, 1
190, 2, 5, Deal Closed, 1 RESOURCE_GYPSUM for 30 turns from 5 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 5; 4 Gold for 0 turns from 2 to 5; , 2267.0, 1
190, 5, 2, Deal Rejected, 1 RESOURCE_GYPSUM for 30 turns from 5 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 5; 4 Gold for 0 turns from 2 to 5; , 2267.0, 2
190, 4, 6, Deal Proposed, 1 RESOURCE_IVORY for 30 turns from 6 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 6; 4 Gold for 0 turns from 4 to 6; , 2268.0, 1
190, 4, 6, Deal Closed, 1 RESOURCE_IVORY for 30 turns from 6 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 6; 4 Gold for 0 turns from 4 to 6; , 2268.0, 1
190, 6, 4, Deal Rejected, 1 RESOURCE_IVORY for 30 turns from 6 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 6; 4 Gold for 0 turns from 4 to 6; , 2268.0, 1
190, 6, 1, Deal Proposed, 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 0 Open Borders for 30 turns from 1 to 6; 1 RESOURCE_PEARLS for 30 turns from 6 to 1; 1 RESOURCE_IVORY for 30 turns from 6 to 1; 0 GreatWork for 0 turns from 6 to 1; 0 Open Borders for 30 turns from 6 to 1; 21 Gold for 0 turns from 6 to 1; 1 Gold for 30 turns from 6 to 1; , 2270.0, 1
190, 7, 1, Deal Proposed, 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 7 to 1; 10 Gold for 0 turns from 7 to 1; 1 Gold for 30 turns from 7 to 1; , 2270.0, 2
190, 7, 1, Deal Closed, 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 7 to 1; 10 Gold for 0 turns from 7 to 1; 1 Gold for 30 turns from 7 to 1; , 2270.0, 2
190, 1, 7, Deal Rejected, 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 1 to 7; 0 GreatWork for 0 turns from 7 to 1; 10 Gold for 0 turns from 7 to 1; 1 Gold for 30 turns from 7 to 1; , 2270.0, 3
190, 7, 0, Deal Proposed, 0 GreatWork for 0 turns from 0 to 7; 0 GreatWork for 0 turns from 0 to 7; 1 RESOURCE_IRON for 30 turns from 7 to 0; 1 RESOURCE_GYPSUM for 30 turns from 7 to 0; 0 Joint War for 30 turns from 7 to 0; 15 Gold for 0 turns from 7 to 0; 6 Gold for 30 turns from 7 to 0; 0 Joint War for 30 turns from 0 to 7; , 2270.0, 2
191, 0, 4, Alliance Ends, , 2270.5, 2
191, 0, 4, Friendship Ends, , 2270.5, 2
191, 0, 7, Alliance Ends, , 2270.5, 3
191, 0, 7, Friendship Ends, , 2270.5, 3
191, 0, 7, Declared Friends, , 2270.5, 2
191, 7, 0, Declared Friends, , 2270.5, 2
191, 0, 7, Allied, , 2270.5, 2
191, 7, 0, Allied, , 2270.5, 2
191, 0, 4, Declared Friends, , 2270.5, 1
191, 4, 0, Declared Friends, , 2270.5, 3
191, 0, 4, Allied, , 2270.5, 1
191, 4, 0, Allied, , 2270.5, 3
191, 0, 1, Declared Friends, , 2270.5, 0
191, 1, 0, Declared Friends, , 2270.5, 1
191, 0, 1, Allied, , 2270.5, 0
191, 1, 0, Allied, , 2270.5, 1
191, 0, 1, Embassy, , 2270.5, 1
191, 1, 2, Denounced, , 2270.5, 1
192, 1, 0, Deal Proposed, 1 RESOURCE_PEARLS for 30 turns from 0 to 1; 0 GreatWork for 0 turns from 0 to 1; 1 RESOURCE_IRON for 30 turns from 1 to 0; 1 RESOURCE_HORSES for 30 turns from 1 to 0; 1 RESOURCE_COAL for 30 turns from 1 to 0; 1 RESOURCE_PERFUME for 30 turns from 1 to 0; 0 Defensive Pact for 30 turns from 1 to 0; 21 Gold for 0 turns from 1 to 0; 2 Gold for 30 turns from 1 to 0; 0 Defensive Pact for 30 turns from 0 to 1; , 2276.0, 2
192, 4, 0, Deal Proposed, 0 GreatWork for 0 turns from 0 to 4; 0 GreatWork for 0 turns from 0 to 4; 0 GreatWork for 0 turns from 0 to 4; 0 GreatWork for 0 turns from 0 to 4; 1 RESOURCE_SILK for 30 turns from 4 to 0; 0 Defensive Pact for 30 turns from 4 to 0; 13 Gold for 0 turns from 4 to 0; 11 Gold for 30 turns from 4 to 0; 0 Defensive Pact for 30 turns from 0 to 4; , 2280.0, 3
192, 5, 10, Gave Influence, , 2280.0, 0
192, 5, 1, Deal Proposed, 1 RESOURCE_URANIUM for 30 turns from 1 to 5; 1 RESOURCE_WHALES for 30 turns from 5 to 1; 3 Gold for 0 turns from 5 to 1; 2 Gold for 30 turns from 5 to 1; , 2280.0, 4
192, 5, 1, Deal Closed, 1 RESOURCE_URANIUM for 30 turns from 1 to 5; 1 RESOURCE_WHALES for 30 turns from 5 to 1; 3 Gold for 0 turns from 5 to 1; 2 Gold for 30 turns from 5 to 1; , 2280.0, 4
192, 1, 5, Deal Rejected, 1 RESOURCE_URANIUM for 30 turns from 1 to 5; 1 RESOURCE_WHALES for 30 turns from 5 to 1; 3 Gold for 0 turns from 5 to 1; 2 Gold for 30 turns from 5 to 1; , 2280.0, 3
193, 2, 6, Deal Proposed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 62 Gold for 30 turns from 2 to 6; , 2282.5, 1
193, 2, 6, Deal Closed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 62 Gold for 30 turns from 2 to 6; , 2282.5, 1
193, 6, 2, Deal Rejected, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 62 Gold for 30 turns from 2 to 6; , 2282.5, 1
193, 2, 0, Deal Proposed, 0 GreatWork for 0 turns from 0 to 2; 0 GreatWork for 0 turns from 0 to 2; 0 GreatWork for 0 turns from 0 to 2; 1 RESOURCE_WHALES for 30 turns from 2 to 0; 1 RESOURCE_COFFEE for 30 turns from 2 to 0; 1 RESOURCE_CITRUS for 30 turns from 2 to 0; 17 Gold for 30 turns from 2 to 0; , 2282.5, 1
193, 5, 4, Promise Refused, , 2286.0, 3
193, 4, 5, Deal Proposed, 1 RESOURCE_WHALES for 30 turns from 5 to 4; 1 RESOURCE_TOBACCO for 30 turns from 4 to 5; 4 Gold for 0 turns from 4 to 5; , 2286.0, 1
193, 4, 5, Deal Closed, 1 RESOURCE_WHALES for 30 turns from 5 to 4; 1 RESOURCE_TOBACCO for 30 turns from 4 to 5; 4 Gold for 0 turns from 4 to 5; , 2286.0, 1
193, 5, 4, Deal Rejected, 1 RESOURCE_WHALES for 30 turns from 5 to 4; 1 RESOURCE_TOBACCO for 30 turns from 4 to 5; 4 Gold for 0 turns from 4 to 5; , 2286.0, 3
193, 6, 4, Deal Proposed, 1 RESOURCE_COCOA for 30 turns from 4 to 6; 1 RESOURCE_IVORY for 30 turns from 6 to 4; 4 Gold for 0 turns from 6 to 4; , 2286.5, 1
193, 4, 6, Deal Accepted, 1 RESOURCE_COCOA for 30 turns from 4 to 6; 1 RESOURCE_IVORY for 30 turns from 6 to 4; 4 Gold for 0 turns from 6 to 4; , 2286.5, 1
194, 2, 1, Deal Proposed, 1 RESOURCE_DIAMONDS for 30 turns from 1 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2287.0, 1
194, 2, 1, Deal Closed, 1 RESOURCE_DIAMONDS for 30 turns from 1 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2287.0, 1
194, 1, 2, Deal Rejected, 1 RESOURCE_DIAMONDS for 30 turns from 1 to 2; 1 RESOURCE_CITRUS for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2287.0, 1
194, 7, 5, Deal Proposed, 0 GreatWork for 0 turns from 5 to 7; 0 GreatWork for 0 turns from 5 to 7; 0 GreatWork for 0 turns from 5 to 7; 0 GreatWork for 0 turns from 7 to 5; 20 Gold for 0 turns from 7 to 5; 3 Gold for 30 turns from 7 to 5; , 2292.5, 0
194, 7, 6, Deal Proposed, 0 GreatWork for 0 turns from 6 to 7; 0 GreatWork for 0 turns from 6 to 7; 1 RESOURCE_IRON for 30 turns from 7 to 6; 1 RESOURCE_GYPSUM for 30 turns from 7 to 6; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 18 Gold for 0 turns from 7 to 6; 1 Gold for 30 turns from 7 to 6; , 2292.5, 0
194, 7, 6, Deal Closed, 0 GreatWork for 0 turns from 6 to 7; 0 GreatWork for 0 turns from 6 to 7; 1 RESOURCE_IRON for 30 turns from 7 to 6; 1 RESOURCE_GYPSUM for 30 turns from 7 to 6; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 18 Gold for 0 turns from 7 to 6; 1 Gold for 30 turns from 7 to 6; , 2292.5, 0
194, 6, 7, Deal Rejected, 0 GreatWork for 0 turns from 6 to 7; 0 GreatWork for 0 turns from 6 to 7; 1 RESOURCE_IRON for 30 turns from 7 to 6; 1 RESOURCE_GYPSUM for 30 turns from 7 to 6; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 18 Gold for 0 turns from 7 to 6; 1 Gold for 30 turns from 7 to 6; , 2292.5, 1
195, 14, 6, At War, Suzerain War, 2293.0, 2
195, 2, 14, Gave Influence, , 2295.0, 0
195, 2, 14, Gave Influence, , 2295.0, 0
195, 2, 14, Gave Influence, , 2295.0, 0
195, 4, 6, Promise Refused, Settle, 2295.0, 1
195, 6, 21, Gave Influence, , 2295.0, 0
195, 7, 5, Denounced, , 2300.0, 0
196, 1, 0, Embassy, , 2306.5, 2
196, 2, 6, Deal Proposed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 97 Gold for 30 turns from 2 to 6; , 2306.5, 1
196, 2, 6, Deal Closed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 97 Gold for 30 turns from 2 to 6; , 2306.5, 1
