Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
183, 1, 4, 已与一位朋友宣布友好, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 1, 5, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
183, 1, 0, 对他们有利的交易, Update,    0.0
183, 1, 2, 吉尔伽美什讨厌您谴责他的朋友, Update,   -9.0
183, 1, 4, 您的好战性, Update,   -8.0
183, 1, 5, 对他们有利的交易, Update,    4.0
183, 1, 6, 您的好战性, Update,   -5.0
183, 1, 7, 对他们有利的交易, Update,    3.0
183, 1, 7, 吉尔伽美什讨厌您谴责他的朋友, Update,   -7.0
183, 2, 1, 在他们附近定居, Activate,    0.0,    0.0,    0.0, 0, 10,   -1.0
183, 2, 4, 与一位敌人结盟, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 2, 7, 与一位敌人结盟, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
183, 2, 7, 已与一位敌人宣布友好, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
183, 2, 1, 已谴责一位敌人, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
183, 2, 5, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 2, 7, 拒绝向他们做出外交承诺, Activate,   -3.0,   -3.0,    0.0, 0, 10,    1.0
183, 2,  7, 拒绝向他们做出外交承诺, Deactivate
183, 2, 1, 相同的政体, Activate,    5.0,    5.0,    1.0, 0, 0,    1.0
183, 1, 2, 相同的政体, Activate,    5.0,    5.0,    1.0, 0, 0,    1.0
183, 4, 2, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 6, 2, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 7, 2, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 2, 4, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 2, 6, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 2, 7, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
183, 2, 1, 您的好战性, Update,  -11.0
183, 2, 5, 拒绝向他们做出外交承诺, Update,   -3.0
183, 2, 5, 您的好战性, Update,  -11.0
183, 2, 6, 您的好战性, Update,   -4.0
183, 4, 0, 与一位朋友结盟, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 4, 1, 与一位朋友结盟, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
183, 4, 7, 与一位朋友结盟, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 4, 1, 已与一位朋友宣布友好, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
183, 4, 5, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 4, 1, 已谴责一位朋友, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
183, 4, 1, 您的好战性, Update,  -16.0
183, 4, 5, 对他们有利的交易, Update,    8.0
183, 4, 5, 您的好战性, Update,  -19.0
183, 4, 6, 您的好战性, Update,   -4.0
183, 4, 7, 联盟, Update,   16.0
183, 4, 7, 宣布友好, Update,    7.0
183, 5,  4, 我们谴责了他们, Deactivate
183, 5, 0, 与一位敌人结盟, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 5, 1, 与一位敌人结盟, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
183, 5, 4, 与一位朋友结盟, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 5, 7, 与一位朋友结盟, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
183, 5, 1, 已与一位敌人宣布友好, Activate,   -3.0,   -3.0,    0.0, 0, 0,    1.0
183, 5, 4, 已与一位敌人宣布友好, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 5, 7, 已与一位朋友宣布友好, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
183, 5, 1, 已谴责一位朋友, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
183, 5, 4, 尊重有强大间谍网络的对手, Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
183, 5, 6, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
183, 5, 7, 尊重有强大间谍网络的对手, Activate,   -8.0,   -8.0,    1.0, 0, 0,    1.0
183, 5, 0, 对他们有利的交易, Update,    9.0
183, 5, 1, 我们的军队已到达他们边境, Update,    0.0
183, 5, 1, 对他们有利的交易, Update,    9.0
183, 5, 4, 您的好战性, Update,   -7.0
183, 5, 6, 您的好战性, Update,   -5.0
183, 6, 7, 与一位敌人结盟, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
183, 6, 7, 已与一位敌人宣布友好, Activate,   -3.0,   -3.0,    0.0, 0, 0,    1.0
183, 6, 1, 您的好战性, Update,  -20.0
