Player,FromPlayer,Delta,New Total Weariness,Reason
2, 6, -50, 9117, At War Decay
2, 6, 42, 9159, Attacking
6, 2, 28, 5100, Getting Attacked
2, 6, 42, 9201, Attacking
6, 2, 28, 5128, Getting Attacked
2, 6, 42, 9243, Attacking
6, 2, 28, 5156, Getting Attacked
6, 2, -50, 5106, At War Decay
2, 6, -50, 9193, At War Decay
2, 6, 42, 9235, Attacking
6, 2, 56, 5162, Getting Attacked
2, 6, 21, 9256, Attacking
6, 2, 56, 5218, Getting Attacked
2, 6, 21, 9277, Attacking
6, 2, 140, 5358, Getting Attacked
6, 2, -50, 5308, At War Decay
2, 6, -50, 9227, At War Decay
2, 6, 42, 9269, Attacking
6, 2, 112, 5420, Getting Attacked
6, 2, -50, 5370, At War Decay
2, 6, -50, 9219, At War Decay
2, 6, 42, 9261, Attacking
6, 2, 28, 5398, Getting Attacked
2, 6, 42, 9303, Attacking
6, 2, 28, 5426, Getting Attacked
6, 2, -50, 5376, At War Decay
2, 6, -50, 9253, At War Decay
2, 6, 42, 9295, Attacking
6, 2, 28, 5404, Getting Attacked
2, 6, 42, 9337, Attacking
6, 2, 112, 5516, Getting Attacked
6, 2, -50, 5466, At War Decay
2, 6, -50, 9287, At War Decay
2, 6, 42, 9329, Attacking
6, 2, 28, 5494, Getting Attacked
2, 6, 42, 9371, Attacking
6, 2, 28, 5522, Getting Attacked
2, 6, 42, 9413, Attacking
6, 2, 112, 5634, Getting Attacked
6, 2, -50, 5584, At War Decay
2, 6, -50, 9363, At War Decay
2, 6, 42, 9405, Attacking
6, 2, 28, 5612, Getting Attacked
2, 6, 42, 9447, Attacking
6, 2, 28, 5640, Getting Attacked
2, 6, 42, 9489, Attacking
6, 2, 28, 5668, Getting Attacked
2, 6, 42, 9531, Attacking
6, 2, 28, 5696, Getting Attacked
6, 2, -50, 5646, At War Decay
2, 6, -50, 9481, At War Decay
2, 6, 42, 9523, Attacking
6, 2, 56, 5702, Getting Attacked
2, 6, 21, 9544, Attacking
6, 2, 140, 5842, Getting Attacked
6, 2, -50, 5792, At War Decay
2, 6, -50, 9494, At War Decay
6, 2, -50, 5742, At War Decay
2, 6, -50, 9444, At War Decay
2, 6, 42, 9486, Attacking
6, 2, 28, 5770, Getting Attacked
2, 6, 42, 9528, Attacking
6, 2, 28, 5798, Getting Attacked
2, 6, 42, 9570, Attacking
6, 2, 28, 5826, Getting Attacked
2, 6, 42, 9612, Attacking
6, 2, 28, 5854, Getting Attacked
2, 6, 42, 9654, Attacking
6, 2, 112, 5966, Getting Attacked
2, 6, 42, 9696, Attacking
6, 2, 56, 6022, Getting Attacked
6, 2, -50, 5972, At War Decay
2, 6, -50, 9646, At War Decay
2, 6, 42, 9688, Attacking
6, 2, 28, 6000, Getting Attacked
2, 6, 42, 9730, Attacking
6, 2, 112, 6112, Getting Attacked
6, 2, -50, 6062, At War Decay
2, 6, -50, 9680, At War Decay
6, 2, -50, 6012, At War Decay
6, 2, 56, 6068, Attacking
2, 6, 84, 9764, Getting Attacked
2, 6, -50, 9714, At War Decay
2, 6, 105, 9819, Attacking
6, 2, 28, 6096, Getting Attacked
2, 6, 42, 9861, Attacking
6, 2, 28, 6124, Getting Attacked
2, 6, 42, 9903, Attacking
6, 2, 112, 6236, Getting Attacked
2, 6, 42, 9945, Attacking
6, 2, 56, 6292, Getting Attacked
6, 2, -50, 6242, At War Decay
6, 2, 28, 6270, Attacking
2, 6, 42, 9987, Getting Attacked
6, 2, 56, 6326, Attacking
2, 6, 105, 10092, Getting Attacked
2, 6, -50, 10042, At War Decay
2, 6, 42, 10084, Attacking
6, 2, 28, 6354, Getting Attacked
2, 6, 42, 10126, Attacking
6, 2, 28, 6382, Getting Attacked
2, 6, 42, 10168, Attacking
6, 2, 28, 6410, Getting Attacked
2, 6, 42, 10210, Attacking
6, 2, 112, 6522, Getting Attacked
6, 2, -50, 6472, At War Decay
6, 2, 56, 6528, Attacking
2, 6, 42, 10252, Getting Attacked
2, 6, -50, 10202, At War Decay
6, 2, -50, 6478, At War Decay
6, 2, 56, 6534, Attacking
2, 6, 105, 10307, Getting Attacked
2, 6, -50, 10257, At War Decay
6, 2, -50, 6484, At War Decay
2, 6, -50, 10207, At War Decay
6, 2, -50, 6434, At War Decay
6, 2, 56, 6490, Attacking
2, 6, 42, 10249, Getting Attacked
2, 6, -50, 10199, At War Decay
