Game Turn, From, To, Initiator, Type, SubType, Message
185, 2, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
185, 4, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
185, 4, 6, ?, MAKE_PROMISE, 46209c01, ?, Processing Action From AI to AI
185, 4, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
186, 0, 7, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
186, 0, 7, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
186, 0, 7, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
186, 0, 7, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
186, 0, 7, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
186, 7, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
186, 7, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
186, 7, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
186, 7, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
186, 7, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
186, 7, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Statement
186, 7, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Immediately
186, 0, 7, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
186, 0, 7, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
186, 0, 7, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
186, 0, 7, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
186, 7, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
186, 7, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
186, 7, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
186, 2, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
186, 5, 1, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
