[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 6.51 ms
[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 5.34 ms
[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 5.53 ms
[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 6.76 ms
[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 13.54 ms
[2018-01-04 07:30:36]	 ,            GameCoreEvent::DistrictBuildingRestore, 8.40 ms
[2018-01-04 07:30:37]	 ,                LuaContext::NotificationPanel, 41.97 ms
[2018-01-04 07:30:37]	 ,            GameCoreEvent::NotificationAdded, 42.13 ms
[2018-01-04 07:30:37]	 ,        Civ6App_PublishGameCoreEvents, 1965.30 ms
[2018-01-04 07:30:37]	 ,    Civ6App_PublishEvents, 1974.19 ms
[2018-01-04 07:30:37]	 ,        WorldView_PostLoadUpdate, 153.13 ms
[2018-01-04 07:30:37]	 ,    Civ6App_UpdateFrame, 173.23 ms
[2018-01-04 07:30:37]	 ,----- FRAME: 8387 time: 2147.60ms Moving avg: 36.73ms 3096 frames since last 
[2018-01-04 07:30:39]	 ,        WorldView_PostLoadUpdate, 377.89 ms
[2018-01-04 07:30:39]	 ,    Civ6App_UpdateFrame, 390.96 ms
[2018-01-04 07:30:39]	 ,----- FRAME: 8469 time: 391.75ms Moving avg: 14.06ms 83 frames since last 
[2018-01-04 07:30:39]	 ,        WorldView_PostLoadUpdate, 298.05 ms
[2018-01-04 07:30:39]	 ,    Civ6App_UpdateFrame, 308.41 ms
[2018-01-04 07:30:39]	 ,----- FRAME: 8471 time: 309.05ms Moving avg: 18.71ms 3 frames since last 
[2018-01-04 07:30:40]	 , WONDERMOVIE: Turn number: 182. Visible mesh count: 1743
[2018-01-04 07:30:40]	 ,            UnitContext_Update, 57.74 ms
[2018-01-04 07:30:41]	 ,            ModelContext_updateVises, 72.69 ms
[2018-01-04 07:30:41]	 ,            FOWMeshContext_UpdateVises, 15.69 ms
[2018-01-04 07:30:41]	 ,        WorldView_Update, 176.34 ms
[2018-01-04 07:30:41]	 ,            StrategicView_Render, 46.20 ms
[2018-01-04 07:30:41]	 ,        Minimap_Render, 46.52 ms
[2018-01-04 07:30:41]	 ,    Civ6App_UpdateFrame, 360.30 ms
[2018-01-04 07:30:41]	 ,----- FRAME: 8542 time: 360.48ms Moving avg: 14.07ms 72 frames since last 
[2018-01-04 07:30:41]	 ,    Civ6App_UpdateFrame, 202.28 ms
[2018-01-04 07:30:41]	 ,----- FRAME: 8545 time: 202.73ms Moving avg: 17.78ms 4 frames since last 
[2018-01-04 07:30:42]	 ,            SequenceEvent::LoadGameViewStateDone, 5.73 ms
[2018-01-04 07:30:42]	 ,----- FRAME: 8559 time: 50.07ms Moving avg: 22.30ms 15 frames since last 
[2018-01-04 07:31:09]	 , ****GameViewState Begin****
[2018-01-04 07:31:09]	 ,            GameViewState_UpdateCache, 132.43 ms
[2018-01-04 07:31:09]	 ,        GameViewState_UpdateGameCore, 132.54 ms
[2018-01-04 07:31:09]	 ,    GameViewState_Tick, 143.03 ms
[2018-01-04 07:31:09]	 ,Civ6App_UpdateFrame, 149.88 ms
[2018-01-04 07:31:09]	 ,----- FRAME: 10162 time: 150.02ms Moving avg: 7.98ms 1604 frames since last 
[2018-01-04 07:31:09]	 ,    Civ6App_UpdateFrame, 162.27 ms
[2018-01-04 07:31:09]	 ,----- FRAME: 10165 time: 162.57ms Moving avg: 10.92ms 4 frames since last 
[2018-01-04 07:31:19]	 ,            ClutterContext_Update, 10.42 ms
[2018-01-04 07:31:19]	 ,----- FRAME: 10410 time: 78.85ms Moving avg: 42.33ms 246 frames since last 
[2018-01-04 07:31:19]	 ,                AsyncUpdateManager_Update, 22.57 ms
[2018-01-04 07:31:19]	 ,----- FRAME: 10411 time: 71.50ms Moving avg: 42.66ms 2 frames since last 
[2018-01-04 07:31:22]	 , WONDERMOVIE: Turn number: 182. Visible mesh count: 2050
[2018-01-04 07:31:24]	 ,                ClutterContext_Update, 24.48 ms
[2018-01-04 07:31:24]	 ,----- FRAME: 10527 time: 66.29ms Moving avg: 43.26ms 117 frames since last 
[2018-01-04 07:31:27]	 ,            Civ6App_PublishGameCoreEvents, 90.45 ms
[2018-01-04 07:31:27]	 ,                    ClutterContext_Update, 40.82 ms
[2018-01-04 07:31:27]	 ,                WorldView_Update, 56.28 ms
[2018-01-04 07:31:27]	 ,----- FRAME: 10604 time: 189.72ms Moving avg: 43.95ms 78 frames since last 
[2018-01-04 07:31:27]	 ,    Civ6App_UpdateFrame, 103.69 ms
[2018-01-04 07:31:27]	 ,----- FRAME: 10607 time: 107.24ms Moving avg: 44.58ms 4 frames since last 
[2018-01-04 07:31:27]	 ,                AsyncUpdateManager_Update, 31.35 ms
[2018-01-04 07:31:28]	 ,                ClutterContext_Update, 44.14 ms
[2018-01-04 07:31:28]	 ,            WorldView_Update, 81.52 ms
[2018-01-04 07:31:28]	 ,    Civ6App_UpdateFrame, 101.87 ms
[2018-01-04 07:31:28]	 ,----- FRAME: 10608 time: 104.06ms Moving avg: 45.40ms 2 frames since last 
[2018-01-04 07:31:28]	 ,                AsyncUpdateManager_Update, 29.38 ms
[2018-01-04 07:31:28]	 ,                ClutterContext_Update, 11.24 ms
[2018-01-04 07:31:28]	 ,----- FRAME: 10609 time: 67.93ms Moving avg: 45.80ms 2 frames since last 
[2018-01-04 07:31:32]	 ,                    LuaContext::DiplomacyActionView, 467.88 ms
[2018-01-04 07:31:32]	 ,                GameCoreEvent::DiplomacyStatement, 468.01 ms
[2018-01-04 07:31:32]	 ,            Civ6App_PublishGameCoreEvents, 625.08 ms
[2018-01-04 07:31:32]	 ,        Civ6App_PublishEvents, 625.17 ms
[2018-01-04 07:31:32]	 , WONDERMOVIE: Turn number: 182. Visible mesh count: 2121
[2018-01-04 07:31:32]	 ,                    ClutterContext_Update, 17.85 ms
[2018-01-04 07:31:32]	 ,----- FRAME: 10709 time: 655.63ms Moving avg: 45.91ms 101 frames since last 
[2018-01-04 07:31:32]	 ,            LeaderScreen_Update, 121.60 ms
[2018-01-04 07:31:32]	 ,                AsyncUpdateManager_Update, 16.10 ms
[2018-01-04 07:31:32]	 ,        GameViewState_Tick, 149.58 ms
[2018-01-04 07:31:32]	 ,    Civ6App_UpdateFrame, 161.16 ms
[2018-01-04 07:31:32]	 ,----- FRAME: 10710 time: 164.02ms Moving avg: 48.05ms 2 frames since last 
[2018-01-04 07:31:36]	 , **** MAIN THREAD stalled on GC lock for 1081.18 ms
[2018-01-04 07:31:37]	 ,        Civ6App_PublishGameCoreEvents, 81.88 ms
[2018-01-04 07:31:37]	 ,----- FRAME: 10873 time: 94.79ms Moving avg: 31.55ms 164 frames since last 
[2018-01-04 07:31:37]	 ,                ClutterContext_Update, 47.02 ms
[2018-01-04 07:31:37]	 ,            WorldView_Update, 59.94 ms
[2018-01-04 07:31:37]	 ,----- FRAME: 10879 time: 63.74ms Moving avg: 30.65ms 7 frames since last 
[2018-01-04 07:31:41]	 ,                LuaContext::StatusMessagePanel, 35.46 ms
[2018-01-04 07:31:41]	 ,            GameCoreEvent::StatusMessage, 35.54 ms
[2018-01-04 07:31:41]	 ,        Civ6App_PublishGameCoreEvents, 198.91 ms
[2018-01-04 07:31:41]	 ,    Civ6App_PublishEvents, 198.97 ms
[2018-01-04 07:31:41]	 ,                ClutterContext_Update, 28.08 ms
[2018-01-04 07:31:41]	 ,----- FRAME: 11105 time: 247.11ms Moving avg: 20.01ms 227 frames since last 
[2018-01-04 07:31:41]	 ,                AsyncUpdateManager_Update, 16.19 ms
[2018-01-04 07:31:41]	 ,----- FRAME: 11108 time: 49.74ms Moving avg: 20.23ms 4 frames since last 
[2018-01-04 07:31:42]	 ,                AsyncUpdateManager_Update, 11.07 ms
[2018-01-04 07:31:42]	 ,----- FRAME: 11113 time: 26.14ms Moving avg: 21.75ms 6 frames since last 
[2018-01-04 07:31:44]	 ,                ClutterContext_Update, 27.77 ms
[2018-01-04 07:31:44]	 ,----- FRAME: 11243 time: 38.96ms Moving avg: 16.79ms 131 frames since last 
[2018-01-04 07:31:45]	 ,                ClutterContext_Update, 22.55 ms
[2018-01-04 07:31:45]	 ,----- FRAME: 11316 time: 32.93ms Moving avg: 16.73ms 74 frames since last 
[2018-01-04 07:31:47]	 ,                DoGameStateSaveRequest, 1090.52 ms
[2018-01-04 07:31:47]	 ,            SerialEvent::PreTurnBegin, 1091.61 ms
[2018-01-04 07:31:47]	 ,----- FRAME: 11439 time: 15.81ms Moving avg: 16.42ms 124 frames since last 
[2018-01-04 07:31:47]	 ,            GameCoreEvent::TurnBegin, 26.92 ms
[2018-01-04 07:31:47]	 ,                LuaContext::WorldTracker, 17.05 ms
[2018-01-04 07:31:47]	 ,                LuaContext::CivicsChooser, 75.48 ms
[2018-01-04 07:31:47]	 ,                LuaContext::ResearchChooser, 39.69 ms
[2018-01-04 07:31:47]	 ,            SerialEvent::GameCoreEventPublishComplete, 132.35 ms
[2018-01-04 07:31:47]	 ,        Civ6App_PublishGameCoreEvents, 162.55 ms
[2018-01-04 07:31:47]	 ,    Civ6App_PublishEvents, 163.03 ms
[2018-01-04 07:31:47]	 ,----- FRAME: 11444 time: 175.84ms Moving avg: 18.91ms 6 frames since last 
[2018-01-04 07:31:51]	 ,                GameViewState_UpdateCache, 125.37 ms
[2018-01-04 07:31:51]	 ,            GameViewState_UpdateGameCore, 125.51 ms
[2018-01-04 07:31:51]	 ,        GameViewState_Tick, 138.58 ms
[2018-01-04 07:31:52]	 ,    Civ6App_UpdateFrame, 153.09 ms
[2018-01-04 07:31:52]	 ,----- FRAME: 11649 time: 153.24ms Moving avg: 26.73ms 206 frames since last 
[2018-01-04 07:31:52]	 ,                LuaContext::WorldTracker, 9.33 ms
[2018-01-04 07:31:52]	 ,            GameCoreEvent::ResearchChanged, 10.10 ms
[2018-01-04 07:31:52]	 ,                LuaContext::WorldTracker, 8.83 ms
[2018-01-04 07:31:52]	 ,                LuaContext::TechCivicCompletedPopup, 67.62 ms
[2018-01-04 07:31:52]	 ,            GameCoreEvent::CivicCompleted, 81.39 ms
[2018-01-04 07:31:52]	 ,                LuaContext::CityBannerManager, 7.23 ms
