Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
184, CIVILIZATION_KONGO, 12, 96, 34, 36, 9, 1, 0, 2, 216, 27, 126, 110, 106, 271, 411, 21, 165, 256, 216, 91, 27, 97, 144, 232
184, CIVILIZATION_SUMERIA, 11, 95, 61, 46, 12, 2, 2, 0, 238, 107, 817, 380, 206, 214, 574, 46, 610, 290, 238, 295, 29, 94, 42, 306
184, CIVILIZATION_NORWAY, 10, 111, 48, 35, 2, 0, 0, 0, 193, 62, 620, 236, 111, 62, 424, 25, 353, 326, 193, 194, 35, 110, 18, 88
184, CIVILIZATION_ENGLAND, 10, 118, 50, 33, 43, 28, 8, 2, 202, 86, 785, 346, 191, 81, 984, 21, 605, 356, 202, 328, 41, 117, 93, 178
184, CIVILIZATION_FRANCE, 10, 102, 48, 50, 23, 6, 10, 14, 271, 84, 3623, 605, 124, 357, 1180, 194, 455, 322, 271, 350, 34, 101, 57, 428
184, CIVILIZATION_BRAZIL, 13, 119, 48, 45, 15, 4, 2, 9, 264, 74, 1346, 170, 121, 217, 902, 127, 560, 309, 264, 285, 39, 118, 12, 254
184, CIVILIZATION_ARABIA, 9, 90, 40, 31, 43, 27, 0, 5, 178, 79, 4273, 817, 138, 88, 1168, 133, 462, 285, 178, 397, 30, 89, 45, 166
184, CIVILIZATION_ZANZIBAR, 1, 11, 47, 32, 3, 1, 0, 1, 13, 10, 2285, 78, 9, 6, 50, 0, 14, 26, 13, 29, 2, 10, 18, 16
184, CIVILIZATION_BUENOS_AIRES, 1, 10, 47, 31, 6, 0, 0, 1, 10, 8, 198, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
184, CIVILIZATION_NAN_MADOL, 1, 7, 47, 26, 3, 0, 0, 0, 13, 6, 51, 35, 6, 8, 16, 0, 14, 11, 13, 19, 1, 6, 7, 10
184, CIVILIZATION_PRESLAV, 1, 15, 46, 34, 10, 8, 0, 0, 14, 12, 74, 90, 8, 5, 16, 0, 4, 47, 14, 15, 0, 16, 14, 12
184, CIVILIZATION_LA_VENTA, 1, 13, 45, 31, 4, 1, 0, 0, 13, 10, 414, 1824, 10, 6, 19, 23, 8, 33, 13, 35, 1, 12, 11, 6
184, CIVILIZATION_JAKARTA, 1, 14, 44, 25, 8, 0, 0, 0, 13, 10, 437, 40, 10, 6, 24, 0, 6, 42, 13, 23, 1, 14, 0, 0
184, CIVILIZATION_VALLETTA, 1, 15, 42, 34, 3, 3, 0, 0, 13, 10, 498, 106, 8, 5, 16, 0, 2, 41, 13, 16, 1, 17, 17, 6
184, CIVILIZATION_AMSTERDAM, 1, 13, 47, 31, 4, 1, 0, 1, 13, 9, 1937, 105, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
184, CIVILIZATION_VILNIUS, 1, 9, 46, 32, 3, 2, 0, 0, 14, 10, 580, 18, 7, 8, 22, 0, 10, 21, 14, 19, 1, 8, 7, 6
184, CIVILIZATION_HATTUSA, 1, 11, 44, 33, 2, 0, 0, 2, 12, 8, 356, 276, 15, 7, 32, 1, 4, 26, 12, 17, 2, 11, 17, 24
185, CIVILIZATION_KONGO, 12, 95, 34, 36, 9, 1, 0, 2, 216, 27, 572, 131, 106, 274, 411, 21, 165, 256, 216, 91, 27, 95, 144, 236
185, CIVILIZATION_SUMERIA, 11, 96, 62, 47, 12, 2, 2, 0, 238, 107, 1090, 427, 210, 218, 543, 46, 617, 291, 238, 298, 29, 95, 42, 308
185, CIVILIZATION_NORWAY, 10, 111, 48, 35, 2, 0, 0, 0, 193, 62, 942, 146, 112, 65, 438, 25, 354, 327, 193, 196, 35, 110, 26, 88
185, CIVILIZATION_ENGLAND, 11, 119, 50, 33, 43, 27, 9, 2, 209, 88, 781, 368, 200, 82, 976, 21, 611, 361, 209, 330, 41, 118, 94, 238
185, CIVILIZATION_FRANCE, 10, 103, 48, 50, 24, 6, 10, 14, 272, 85, 3237, 420, 124, 357, 1187, 195, 457, 326, 272, 350, 34, 102, 61, 428
185, CIVILIZATION_BRAZIL, 13, 119, 48, 46, 15, 4, 2, 9, 265, 74, 1510, 297, 121, 217, 929, 127, 569, 313, 265, 292, 39, 118, 12, 256
185, CIVILIZATION_ARABIA, 9, 90, 41, 31, 42, 28, 0, 6, 181, 80, 3867, 142, 138, 91, 1160, 133, 464, 284, 181, 397, 30, 89, 45, 166
185, CIVILIZATION_ZANZIBAR, 1, 11, 48, 32, 3, 1, 0, 1, 13, 10, 2317, 79, 9, 6, 50, 0, 14, 26, 13, 29, 2, 10, 18, 16
185, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 192, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
185, CIVILIZATION_NAN_MADOL, 1, 7, 48, 26, 3, 0, 0, 0, 13, 6, 53, 35, 6, 8, 16, 0, 14, 11, 13, 19, 1, 6, 7, 10
185, CIVILIZATION_PRESLAV, 1, 15, 47, 34, 10, 8, 0, 0, 14, 12, 74, 91, 8, 5, 18, 0, 4, 47, 14, 15, 0, 16, 17, 12
185, CIVILIZATION_LA_VENTA, 1, 13, 45, 31, 4, 1, 0, 0, 13, 10, 424, 1847, 10, 6, 19, 23, 8, 33, 13, 35, 1, 12, 11, 6
185, CIVILIZATION_JAKARTA, 1, 14, 44, 25, 8, 0, 0, 0, 13, 10, 440, 40, 10, 6, 24, 0, 6, 42, 13, 23, 1, 14, 0, 0
185, CIVILIZATION_VALLETTA, 1, 15, 43, 34, 3, 3, 0, 0, 13, 10, 502, 107, 8, 5, 16, 0, 2, 41, 13, 16, 1, 17, 17, 6
185, CIVILIZATION_AMSTERDAM, 1, 13, 48, 31, 4, 1, 0, 1, 13, 9, 1971, 107, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
185, CIVILIZATION_VILNIUS, 1, 9, 47, 32, 3, 2, 0, 0, 14, 10, 591, 18, 7, 8, 22, 0, 10, 21, 14, 19, 1, 8, 7, 6
185, CIVILIZATION_HATTUSA, 1, 11, 45, 33, 2, 0, 0, 2, 12, 8, 369, 277, 15, 7, 32, 1, 5, 26, 12, 17, 2, 11, 17, 24
186, CIVILIZATION_KONGO, 12, 96, 34, 36, 9, 1, 0, 2, 219, 27, 590, 153, 106, 278, 410, 20, 163, 260, 219, 95, 27, 96, 129, 238
