Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
206, CIVILIZATION_ENGLAND, 11, 145, 59, 35, 23, 10, 7, 3, 229, 100, 1170, 271, 250, 103, 1119, 25, 725, 513, 229, 390, 45, 144, 116, 266
206, CIVILIZATION_FRANCE, 10, 116, 55, 51, 26, 5, 8, 13, 297, 102, 1450, 664, 129, 392, 1610, 200, 643, 398, 297, 519, 39, 115, 80, 498
206, CIVILIZATION_BRAZIL, 14, 135, 55, 49, 15, 3, 3, 10, 293, 83, 1726, 364, 155, 264, 1012, 132, 627, 356, 293, 363, 48, 134, 36, 300
206, CIVILIZATION_ARABIA, 9, 99, 46, 36, 47, 26, 7, 10, 194, 80, 1736, 512, 163, 103, 1320, 132, 499, 292, 194, 462, 34, 98, 59, 182
206, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3074, 97, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 16
206, CIVILIZATION_BUENOS_AIRES, 1, 10, 53, 31, 6, 0, 0, 1, 10, 8, 75, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
206, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 3, 0, 0, 0, 13, 6, 40, 35, 5, 12, 16, 0, 14, 11, 13, 23, 1, 5, 8, 10
206, CIVILIZATION_PRESLAV, 1, 15, 53, 34, 1, 1, 0, 0, 17, 12, 85, 104, 8, 5, 14, 0, 4, 50, 17, 15, 0, 15, 12, 12
206, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 372, 2171, 11, 6, 24, 15, 8, 37, 13, 34, 2, 12, 16, 6
206, CIVILIZATION_JAKARTA, 1, 15, 51, 26, 8, 0, 0, 0, 13, 9, 500, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
206, CIVILIZATION_VALLETTA, 1, 15, 53, 35, 3, 2, 1, 0, 15, 12, 645, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
206, CIVILIZATION_AMSTERDAM, 1, 14, 52, 31, 4, 1, 0, 2, 16, 10, 1299, 145, 11, 6, 43, 1, 5, 49, 16, 20, 2, 13, 15, 6
206, CIVILIZATION_VILNIUS, 1, 9, 52, 32, 4, 2, 0, 0, 14, 10, 631, 18, 7, 8, 22, 0, 10, 23, 14, 19, 1, 8, 8, 6
206, CIVILIZATION_HATTUSA, 1, 11, 51, 33, 2, 0, 0, 2, 12, 8, 651, 314, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
207, CIVILIZATION_KONGO, 13, 118, 43, 42, 9, 1, 0, 2, 265, 40, 1581, 530, 148, 421, 544, 19, 219, 307, 265, 126, 34, 119, 241, 670
207, CIVILIZATION_SUMERIA, 11, 121, 68, 51, 13, 3, 3, 0, 254, 114, 1239, 1224, 249, 319, 966, 38, 746, 358, 254, 403, 37, 121, 35, 280
207, CIVILIZATION_NORWAY, 10, 121, 51, 37, 4, 0, 1, 0, 201, 62, 1209, 95, 126, 76, 581, 33, 436, 341, 201, 241, 40, 120, 27, 210
207, CIVILIZATION_ENGLAND, 11, 146, 59, 36, 23, 9, 9, 3, 229, 99, 1019, 297, 240, 105, 1126, 25, 710, 518, 229, 383, 45, 145, 108, 266
207, CIVILIZATION_FRANCE, 10, 119, 55, 51, 26, 5, 8, 14, 297, 102, 2092, 866, 132, 391, 1617, 202, 642, 403, 297, 519, 39, 118, 80, 498
207, CIVILIZATION_BRAZIL, 14, 136, 55, 49, 14, 3, 3, 11, 295, 84, 770, 496, 155, 263, 1022, 130, 630, 357, 295, 363, 48, 135, 36, 300
207, CIVILIZATION_ARABIA, 9, 100, 46, 36, 49, 26, 7, 11, 195, 81, 2150, 484, 163, 98, 1329, 132, 497, 298, 195, 462, 34, 99, 59, 182
207, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3114, 98, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 16
207, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 69, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
207, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 3, 0, 0, 0, 13, 6, 39, 35, 5, 12, 16, 0, 14, 11, 13, 23, 1, 5, 8, 10
207, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 12, 90, 104, 8, 5, 7, 0, 4, 50, 17, 15, 0, 15, 0, 12
207, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 385, 2186, 11, 6, 24, 15, 8, 37, 13, 34, 2, 12, 16, 6
207, CIVILIZATION_JAKARTA, 1, 15, 52, 26, 8, 0, 0, 0, 13, 9, 488, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
207, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 653, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
207, CIVILIZATION_AMSTERDAM, 1, 14, 52, 31, 4, 1, 0, 2, 16, 10, 1319, 147, 11, 6, 42, 1, 5, 49, 16, 20, 2, 13, 15, 6
207, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 637, 18, 8, 9, 22, 0, 10, 24, 14, 19, 1, 10, 8, 6
207, CIVILIZATION_HATTUSA, 1, 11, 52, 33, 2, 0, 0, 2, 12, 8, 666, 316, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
208, CIVILIZATION_KONGO, 13, 118, 43, 43, 9, 1, 0, 2, 269, 40, 2409, 549, 148, 425, 545, 19, 219, 308, 269, 126, 34, 118, 241, 670
208, CIVILIZATION_SUMERIA, 11, 122, 68, 51, 12, 4, 3, 1, 255, 112, 1713, 1262, 242, 321, 983, 38, 763, 366, 255, 411, 39, 122, 49, 272
208, CIVILIZATION_NORWAY, 10, 122, 51, 37, 4, 0, 1, 0, 201, 62, 1583, 128, 126, 76, 581, 33, 442, 341, 201, 241, 40, 121, 27, 210
208, CIVILIZATION_ENGLAND, 11, 146, 60, 36, 23, 9, 9, 3, 231, 100, 872, 324, 248, 106, 1141, 26, 731, 515, 231, 388, 45, 145, 113, 266
208, CIVILIZATION_FRANCE, 10, 120, 55, 51, 26, 5, 8, 13, 299, 102, 2161, 1068, 133, 392, 1615, 202, 641, 404, 299, 519, 39, 119, 76, 498
208, CIVILIZATION_BRAZIL, 14, 137, 55, 49, 15, 3, 3, 11, 295, 84, 1051, 337, 155, 262, 1034, 129, 639, 364, 295, 372, 49, 136, 44, 300
208, CIVILIZATION_ARABIA, 9, 101, 46, 36, 50, 27, 7, 11, 195, 81, 1467, 387, 164, 104, 1312, 132, 499, 300, 195, 465, 34, 100, 59, 182
208, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3153, 99, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 16
208, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 64, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
208, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 3, 0, 0, 0, 13, 6, 39, 35, 5, 12, 16, 0, 14, 11, 13, 23, 1, 5, 8, 10
208, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 12, 95, 104, 8, 5, 7, 0, 4, 50, 17, 15, 0, 15, 0, 12
208, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 396, 2201, 11, 6, 23, 15, 8, 37, 13, 34, 2, 12, 16, 6
208, CIVILIZATION_JAKARTA, 1, 15, 53, 26, 8, 0, 0, 0, 13, 9, 485, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
208, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 652, 107, 8, 5, 5, 0, 2, 54, 15, 16, 1, 16, 0, 6
208, CIVILIZATION_AMSTERDAM, 1, 14, 52, 31, 4, 1, 0, 2, 16, 10, 1329, 147, 11, 6, 31, 0, 5, 49, 16, 20, 2, 13, 0, 6
208, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 644, 18, 8, 9, 22, 0, 10, 24, 14, 19, 1, 10, 8, 6
208, CIVILIZATION_HATTUSA, 1, 11, 53, 33, 2, 0, 0, 2, 12, 8, 681, 318, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
209, CIVILIZATION_KONGO, 13, 118, 43, 43, 9, 1, 0, 2, 271, 41, 3102, 567, 148, 436, 546, 18, 219, 314, 271, 126, 34, 118, 233, 670
209, CIVILIZATION_SUMERIA, 11, 123, 68, 51, 13, 4, 3, 1, 255, 114, 751, 1300, 250, 324, 1001, 38, 771, 366, 255, 422, 39, 123, 43, 270
209, CIVILIZATION_NORWAY, 10, 122, 51, 37, 4, 0, 1, 0, 202, 62, 1636, 163, 126, 76, 594, 34, 442, 341, 202, 249, 41, 121, 27, 210
209, CIVILIZATION_ENGLAND, 11, 149, 60, 36, 23, 9, 9, 3, 233, 100, 772, 349, 248, 108, 1116, 25, 738, 520, 233, 390, 45, 148, 109, 266
209, CIVILIZATION_FRANCE, 10, 121, 55, 51, 29, 5, 9, 13, 299, 102, 2757, 793, 132, 390, 1587, 199, 663, 409, 299, 519, 39, 120, 73, 498
209, CIVILIZATION_BRAZIL, 14, 138, 55, 49, 14, 3, 3, 11, 295, 84, 1507, 467, 156, 264, 1032, 129, 637, 367, 295, 374, 49, 137, 44, 300
209, CIVILIZATION_ARABIA, 9, 102, 47, 36, 51, 27, 7, 11, 196, 81, 1866, 519, 173, 101, 1325, 132, 502, 301, 196, 472, 34, 101, 59, 182
209, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3193, 100, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
209, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 58, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
209, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 4, 0, 0, 0, 13, 6, 30, 35, 5, 12, 16, 0, 14, 11, 13, 23, 1, 5, 8, 10
209, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 12, 99, 104, 8, 5, 7, 0, 4, 50, 17, 15, 0, 15, 0, 12
209, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 407, 2217, 11, 6, 23, 15, 8, 37, 13, 34, 2, 12, 16, 6
209, CIVILIZATION_JAKARTA, 1, 15, 54, 26, 8, 0, 0, 0, 13, 9, 483, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
209, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 660, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
209, CIVILIZATION_AMSTERDAM, 1, 14, 52, 31, 4, 1, 0, 1, 16, 10, 1358, 149, 11, 6, 44, 1, 5, 49, 16, 20, 2, 13, 16, 6
209, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 650, 18, 8, 9, 22, 0, 10, 24, 14, 19, 1, 10, 8, 6
209, CIVILIZATION_HATTUSA, 1, 11, 54, 33, 2, 0, 0, 2, 12, 8, 686, 319, 15, 5, 25, 0, 5, 28, 12, 19, 2, 10, 0, 24
210, CIVILIZATION_KONGO, 13, 119, 44, 44, 9, 1, 0, 2, 273, 40, 259, 584, 148, 448, 545, 18, 218, 315, 273, 134, 34, 119, 233, 670
210, CIVILIZATION_SUMERIA, 11, 124, 68, 51, 13, 4, 3, 1, 255, 113, 616, 1339, 245, 325, 1169, 38, 777, 420, 255, 509, 39, 124, 85, 268
210, CIVILIZATION_NORWAY, 10, 123, 51, 37, 5, 0, 2, 0, 202, 62, 616, 198, 127, 75, 600, 34, 433, 341, 202, 251, 41, 122, 27, 210
210, CIVILIZATION_ENGLAND, 11, 149, 60, 36, 24, 9, 10, 3, 233, 100, 594, 374, 252, 110, 1134, 25, 760, 522, 233, 391, 46, 148, 119, 264
210, CIVILIZATION_FRANCE, 10, 121, 56, 51, 28, 6, 8, 13, 300, 104, 3510, 993, 132, 293, 1589, 199, 659, 408, 300, 519, 39, 120, 64, 498
210, CIVILIZATION_BRAZIL, 14, 138, 55, 49, 13, 3, 2, 11, 296, 84, 1647, 596, 158, 267, 1040, 131, 649, 367, 296, 377, 49, 137, 44, 300
210, CIVILIZATION_ARABIA, 9, 102, 48, 36, 52, 27, 7, 11, 198, 82, 1681, 406, 173, 107, 1316, 132, 515, 302, 198, 475, 34, 101, 59, 182
210, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3232, 101, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
210, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 53, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
210, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 4, 0, 0, 0, 16, 6, 21, 35, 5, 12, 16, 0, 14, 11, 16, 23, 1, 5, 8, 10
210, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 12, 104, 104, 8, 5, 7, 0, 4, 50, 17, 15, 0, 15, 0, 12
210, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 419, 2232, 11, 6, 23, 15, 8, 37, 13, 34, 2, 12, 16, 6
210, CIVILIZATION_JAKARTA, 1, 15, 55, 26, 8, 0, 0, 0, 13, 9, 467, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
210, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 668, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
210, CIVILIZATION_AMSTERDAM, 1, 14, 52, 31, 4, 1, 0, 1, 16, 10, 1387, 150, 11, 6, 44, 1, 5, 49, 16, 20, 2, 13, 16, 6
210, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 657, 18, 8, 9, 22, 0, 10, 24, 14, 19, 1, 10, 8, 6
210, CIVILIZATION_HATTUSA, 1, 11, 54, 33, 2, 0, 0, 2, 12, 8, 691, 321, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
211, CIVILIZATION_KONGO, 13, 119, 44, 45, 9, 1, 0, 2, 276, 41, 1241, 602, 150, 520, 574, 18, 233, 313, 276, 138, 35, 119, 252, 670
211, CIVILIZATION_SUMERIA, 11, 125, 68, 51, 14, 4, 3, 1, 257, 113, 1254, 1377, 246, 327, 1169, 38, 784, 422, 257, 512, 40, 125, 87, 268
211, CIVILIZATION_NORWAY, 10, 124, 51, 37, 5, 0, 2, 0, 202, 62, 1001, 98, 127, 75, 615, 34, 433, 340, 202, 256, 41, 123, 27, 210
211, CIVILIZATION_ENGLAND, 11, 151, 60, 36, 24, 9, 10, 4, 234, 101, 742, 399, 257, 112, 1137, 25, 766, 528, 234, 395, 47, 150, 120, 284
211, CIVILIZATION_FRANCE, 10, 122, 56, 51, 28, 7, 8, 13, 300, 104, 3059, 1191, 133, 288, 1596, 198, 664, 418, 300, 519, 39, 121, 75, 492
211, CIVILIZATION_BRAZIL, 14, 138, 56, 49, 14, 3, 2, 12, 296, 85, 1107, 428, 157, 267, 1050, 131, 648, 375, 296, 384, 49, 137, 44, 300
211, CIVILIZATION_ARABIA, 9, 102, 49, 36, 52, 26, 8, 11, 198, 81, 1488, 538, 172, 101, 1318, 132, 513, 301, 198, 475, 34, 101, 59, 188
211, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3271, 102, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
211, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 47, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
211, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 2, 0, 0, 0, 17, 6, 18, 35, 5, 12, 16, 0, 14, 11, 17, 23, 1, 5, 8, 10
211, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 13, 109, 104, 8, 5, 7, 0, 4, 50, 17, 15, 0, 15, 0, 12
211, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 418, 2246, 11, 6, 10, 13, 8, 37, 13, 34, 2, 12, 0, 6
211, CIVILIZATION_JAKARTA, 1, 15, 55, 26, 8, 0, 0, 0, 13, 9, 446, 40, 11, 6, 25, 0, 4, 45, 13, 23, 1, 16, 0, 0
211, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 676, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
211, CIVILIZATION_AMSTERDAM, 1, 15, 52, 32, 4, 1, 0, 1, 16, 10, 1409, 152, 9, 5, 37, 1, 2, 49, 16, 20, 2, 15, 16, 6
211, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 663, 18, 8, 9, 22, 0, 10, 24, 14, 19, 1, 10, 8, 6
211, CIVILIZATION_HATTUSA, 1, 11, 54, 33, 2, 0, 0, 2, 12, 8, 705, 322, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
212, CIVILIZATION_KONGO, 13, 120, 45, 46, 9, 1, 0, 2, 278, 42, 339, 637, 153, 519, 582, 35, 241, 318, 278, 141, 35, 119, 271, 734
212, CIVILIZATION_SUMERIA, 11, 126, 68, 51, 14, 4, 3, 1, 257, 115, 1107, 1421, 247, 333, 1169, 44, 822, 441, 257, 533, 40, 126, 97, 274
212, CIVILIZATION_NORWAY, 10, 125, 52, 38, 5, 0, 2, 0, 202, 62, 1386, 133, 128, 76, 615, 34, 436, 341, 202, 256, 41, 124, 27, 210
212, CIVILIZATION_ENGLAND, 11, 154, 60, 36, 24, 9, 10, 4, 235, 104, 1302, 424, 259, 113, 1137, 25, 770, 547, 235, 395, 47, 153, 120, 284
212, CIVILIZATION_FRANCE, 10, 122, 56, 51, 27, 7, 8, 13, 301, 106, 3637, 895, 133, 288, 1596, 198, 671, 423, 301, 519, 40, 121, 82, 492
212, CIVILIZATION_BRAZIL, 14, 140, 56, 49, 14, 3, 2, 11, 296, 85, 1868, 558, 157, 264, 1045, 130, 643, 375, 296, 385, 49, 139, 39, 300
212, CIVILIZATION_ARABIA, 9, 102, 50, 36, 52, 27, 8, 11, 198, 80, 1744, 504, 171, 106, 1316, 130, 490, 297, 198, 479, 34, 101, 48, 188
212, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3311, 103, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
212, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 42, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
212, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 2, 0, 0, 0, 17, 6, 15, 35, 5, 12, 16, 0, 14, 11, 17, 23, 1, 5, 8, 10
212, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 13, 113, 104, 8, 5, 7, 0, 4, 51, 17, 15, 0, 15, 0, 12
212, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 429, 2261, 11, 6, 23, 15, 8, 37, 13, 34, 2, 12, 16, 6
212, CIVILIZATION_JAKARTA, 1, 16, 55, 26, 8, 0, 0, 0, 13, 9, 437, 40, 11, 7, 26, 0, 4, 45, 13, 23, 1, 17, 0, 0
212, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 684, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
212, CIVILIZATION_AMSTERDAM, 1, 15, 52, 32, 4, 1, 0, 1, 16, 10, 1431, 153, 9, 5, 37, 1, 2, 49, 16, 20, 2, 15, 16, 6
212, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 671, 18, 8, 9, 23, 0, 12, 24, 14, 19, 1, 10, 8, 6
212, CIVILIZATION_HATTUSA, 1, 11, 54, 33, 2, 0, 0, 2, 12, 8, 719, 324, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
213, CIVILIZATION_KONGO, 13, 121, 45, 47, 9, 1, 0, 2, 279, 42, 1231, 672, 153, 528, 591, 35, 227, 302, 279, 141, 36, 120, 227, 760
213, CIVILIZATION_SUMERIA, 11, 127, 68, 51, 14, 4, 3, 1, 258, 116, 1194, 1465, 245, 332, 1169, 44, 849, 451, 258, 535, 40, 127, 106, 274
213, CIVILIZATION_NORWAY, 10, 125, 52, 38, 5, 0, 2, 0, 202, 62, 1811, 168, 128, 75, 631, 34, 452, 341, 202, 263, 41, 124, 27, 210
213, CIVILIZATION_ENGLAND, 11, 155, 61, 36, 24, 9, 11, 4, 237, 105, 1232, 450, 260, 114, 1135, 25, 794, 557, 237, 402, 47, 154, 120, 284
213, CIVILIZATION_FRANCE, 10, 122, 56, 51, 27, 7, 8, 13, 302, 106, 3126, 1092, 132, 288, 1620, 197, 625, 403, 302, 534, 40, 121, 77, 492
213, CIVILIZATION_BRAZIL, 14, 141, 56, 50, 14, 3, 2, 11, 298, 85, 1255, 390, 159, 264, 1055, 136, 677, 384, 298, 388, 51, 140, 62, 316
213, CIVILIZATION_ARABIA, 9, 102, 51, 37, 53, 27, 8, 11, 198, 80, 1552, 381, 170, 100, 1331, 132, 488, 297, 198, 480, 35, 101, 45, 188
213, CIVILIZATION_ZANZIBAR, 1, 12, 52, 32, 3, 1, 0, 1, 13, 10, 3350, 104, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
213, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 36, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
213, CIVILIZATION_NAN_MADOL, 1, 6, 54, 26, 2, 0, 0, 0, 17, 6, 12, 35, 5, 12, 16, 0, 14, 11, 17, 23, 1, 5, 8, 10
213, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 14, 118, 104, 8, 5, 7, 0, 5, 51, 17, 15, 0, 15, 0, 12
213, CIVILIZATION_LA_VENTA, 1, 13, 53, 32, 4, 1, 0, 0, 13, 9, 441, 2276, 11, 6, 23, 15, 8, 37, 13, 34, 2, 12, 16, 6
213, CIVILIZATION_JAKARTA, 1, 16, 55, 26, 8, 0, 0, 0, 13, 9, 427, 40, 11, 7, 26, 0, 4, 45, 13, 23, 1, 17, 0, 0
213, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 692, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
213, CIVILIZATION_AMSTERDAM, 1, 15, 52, 32, 4, 1, 0, 1, 16, 10, 1453, 155, 9, 5, 37, 1, 2, 49, 16, 20, 2, 15, 16, 6
213, CIVILIZATION_VILNIUS, 1, 10, 52, 32, 4, 2, 0, 0, 14, 10, 679, 18, 8, 9, 23, 0, 12, 24, 14, 19, 1, 10, 8, 6
213, CIVILIZATION_HATTUSA, 1, 11, 54, 33, 2, 0, 0, 2, 12, 8, 722, 326, 16, 7, 35, 1, 5, 29, 12, 19, 2, 10, 17, 24
214, CIVILIZATION_KONGO, 13, 121, 46, 48, 9, 1, 0, 2, 280, 42, 1366, 691, 153, 532, 605, 19, 237, 308, 280, 141, 36, 120, 227, 720
214, CIVILIZATION_SUMERIA, 11, 128, 68, 51, 14, 4, 3, 1, 258, 114, 1294, 1509, 247, 332, 1192, 44, 828, 455, 258, 549, 40, 128, 106, 274
214, CIVILIZATION_NORWAY, 10, 126, 52, 38, 6, 0, 2, 0, 203, 61, 475, 201, 132, 74, 616, 33, 450, 338, 203, 271, 41, 125, 27, 210
214, CIVILIZATION_ENGLAND, 11, 157, 61, 37, 24, 9, 11, 4, 237, 104, 1767, 470, 262, 115, 1217, 20, 796, 562, 237, 402, 47, 156, 120, 262
214, CIVILIZATION_FRANCE, 10, 122, 57, 51, 27, 7, 8, 13, 305, 106, 3236, 1289, 132, 289, 1644, 197, 647, 415, 305, 548, 40, 121, 57, 492
214, CIVILIZATION_BRAZIL, 14, 142, 57, 50, 13, 3, 2, 12, 299, 85, 888, 520, 160, 267, 1057, 128, 680, 417, 299, 390, 51, 141, 62, 306
214, CIVILIZATION_ARABIA, 9, 102, 52, 37, 53, 27, 8, 11, 198, 80, 1367, 513, 170, 104, 1329, 132, 503, 358, 198, 482, 35, 101, 60, 188
214, CIVILIZATION_ZANZIBAR, 1, 12, 53, 32, 3, 1, 0, 1, 13, 10, 3390, 105, 10, 6, 59, 0, 14, 28, 13, 33, 2, 11, 18, 22
214, CIVILIZATION_BUENOS_AIRES, 1, 10, 54, 31, 6, 0, 0, 1, 10, 8, 30, 48, 11, 5, 20, 0, 4, 27, 10, 15, 1, 10, 0, 6
214, CIVILIZATION_NAN_MADOL, 1, 6, 55, 26, 2, 0, 0, 0, 17, 6, 9, 35, 5, 12, 16, 0, 14, 11, 17, 23, 1, 5, 8, 10
214, CIVILIZATION_PRESLAV, 1, 15, 54, 34, 1, 1, 0, 0, 17, 14, 123, 104, 8, 5, 7, 0, 5, 51, 17, 15, 0, 15, 0, 12
214, CIVILIZATION_LA_VENTA, 1, 13, 54, 32, 4, 1, 0, 0, 13, 9, 452, 2292, 11, 6, 23, 15, 8, 45, 13, 34, 2, 12, 16, 6
214, CIVILIZATION_JAKARTA, 1, 16, 55, 26, 8, 0, 0, 0, 13, 9, 417, 40, 11, 7, 26, 0, 4, 45, 13, 23, 1, 17, 0, 0
214, CIVILIZATION_VALLETTA, 1, 15, 54, 35, 3, 2, 1, 0, 15, 12, 700, 107, 9, 6, 14, 0, 2, 54, 15, 16, 1, 16, 14, 6
214, CIVILIZATION_AMSTERDAM, 1, 15, 53, 32, 4, 1, 0, 1, 16, 10, 1475, 156, 9, 5, 37, 1, 2, 61, 16, 20, 2, 15, 16, 6
214, CIVILIZATION_VILNIUS, 1, 10, 53, 32, 4, 2, 0, 0, 14, 10, 686, 18, 8, 9, 23, 0, 12, 26, 14, 19, 1, 10, 8, 6
214, CIVILIZATION_HATTUSA, 1, 11, 55, 33, 2, 0, 0, 2, 12, 8, 735, 328, 16, 7, 35, 1, 5, 31, 12, 19, 2, 10, 17, 24
215, CIVILIZATION_KONGO, 13, 122, 46, 48, 9, 1, 0, 2, 285, 42, 1506, 711, 154, 540, 613, 20, 262, 335, 285, 141, 36, 121, 271, 744
215, CIVILIZATION_SUMERIA, 11, 130, 68, 51, 14, 4, 3, 1, 259, 115, 1935, 1570, 257, 336, 1230, 61, 828, 451, 259, 575, 40, 130, 95, 316
